name,mobile,email,password,taluka,district,companyName
Amol Holkar,8083075899,taranganoilmills@nexora.in,buy123,Buldhana,Buldhana,Tarangan Oil Mills Pvt Ltd
Nitin Randhawa,6381388131,shrishticottonmi@nexora.in,buy123,Telhara,Akola,Shrishti Cotton Mills Ltd
Gopichand Fadnavis,8754164931,tapifisheriespvt@nexora.in,buy123,Devgad,Sindhudurg,Tapi Fisheries Pvt Ltd
Vishal Joshi,9459960185,padmavatisoyapro2@nexora.in,buy123,Sengaon,Hingoli,Padmavati Soya Processors
Rahul Wagh,7179156572,vitthalchikooexp@nexora.in,buy123,Vikramgad,Palghar,Vitthal Chikoo Exports
Umesh Sable,7699832629,shivshaktiwinesp@nexora.in,buy123,Velhe,Pune,Shivshakti Wines Pvt Ltd
Namdev Bhagat,6012996727,krantihaldiudyog@nexora.in,buy123,Bhokar,Nanded,Kranti Haldi Udyog
Neelam Ubale,9646727204,panchgangavineya@nexora.in,buy123,Malegaon,Nashik,Panchganga Vineyards
Chandrakant Patil,6950830273,chandraagrotradi@nexora.in,buy123,Andheri,Mumbai Suburban,Chandra Agro Trading Co.
Yogesh Lokhande,6371433070,mulamuthacottont2@nexora.in,buy123,Ashti,Beed,Mula-Mutha Cotton Traders
Rupali Gawali,9375695053,sahyadritextiles2@nexora.in,buy123,Mudkhed,Nanded,Sahyadri Textiles Pvt Ltd
Vasant Shelke,7812646446,marathagrainsmai@nexora.in,buy123,Talode,Nandurbar,Maratha Grains & Maize Traders
Santosh Lokhande,6081435225,shreericemills2@nexora.in,buy123,Jawhar,Palghar,Shree Rice Mills
Popat Chavan,9961797598,annapurnasahakar@nexora.in,buy123,Kadegaon,Sangli,Annapurna Sahakari Sakhar Karkhana
Vinod Jagtap,6067471387,konkansoyaproces@nexora.in,buy123,Mangrulpir,Washim,Konkan Soya Processors
Gopal Joshi,6402503024,ghodseedspvtltd@nexora.in,buy123,Jalna,Jalna,Ghod Seeds Pvt Ltd
Sunil Dhumal,9813298657,bhairavnathfresh2@nexora.in,buy123,Thane,Thane,Bhairavnath Fresh Vegetable Traders
Dattatray Jadhav,6119252000,waingangacottonm@nexora.in,buy123,Chikhli,Buldhana,Wainganga Cotton Mills Ltd
Tanaji Solanke,9737387899,padmavatisoyapro3@nexora.in,buy123,Balapur,Akola,Padmavati Soya Processors
Yogesh Pawar,8947461400,manaspapayaexpor@nexora.in,buy123,Navapur,Nandurbar,Manas Papaya Exports
Vinod Randhawa,7541065202,ghodsahakarisakh@nexora.in,buy123,Karad,Satara,Ghod Sahakari Sakhar Karkhana
Dattatray Ghorpade,9456129675,saraswatifoodgra@nexora.in,buy123,Deori,Gondia,Saraswati Foodgrains Pvt Ltd
Dattatray Holkar,6526767495,tirupaticottonmi@nexora.in,buy123,Dhamangaon,Amravati,Tirupati Cotton Mills Ltd
Bapurao Yadav,8789333312,panchgangacitrus@nexora.in,buy123,Arvi,Wardha,Panchganga Citrus Exports Pvt Ltd
Rajesh Gadhave,7525950844,malharcitrusexpo@nexora.in,buy123,Achalpur,Amravati,Malhar Citrus Exports Pvt Ltd
Rekha Shelke,8145285828,sureshsweetsfood@nexora.in,buy123,Ambad,Jalna,Suresh Sweets & Foods Pvt Ltd
Ganesh Gaikwad,6631175123,shubhamagroindus2@nexora.in,buy123,Renapur,Latur,Shubham Agro Industries
Archana Rathod,7025332872,shubhamricetrade@nexora.in,buy123,Mohadi,Bhandara,Shubham Rice Traders Pvt Ltd
Tanaji Fadnavis,7707765980,jaihindfreshgrap@nexora.in,buy123,Junnar,Pune,Jaihind Fresh Grapes Exports
Anjali Khedkar,9043769522,deccanseafoodexp2@nexora.in,buy123,Ratnagiri,Ratnagiri,Deccan Seafood Exports Co.
Pooja Fadnavis,9724337187,sarthihapusexpor@nexora.in,buy123,Alibag,Raigad,Sarthi Hapus Exports Pvt Ltd
Nitin Ghorpade,9863743730,shreeramseedspvt@nexora.in,buy123,Badnapur,Jalna,Shreeram Seeds Pvt Ltd
Prakash Kulkarni,8478785998,rajlaxmisugarspv@nexora.in,buy123,Palus,Sangli,Rajlaxmi Sugars Pvt Ltd
Mahendra Thorat,9760325590,amrutfruittrader2@nexora.in,buy123,Raver,Jalgaon,Amrut Fruit Traders Pvt Ltd
Mangesh Mahajan,6197423293,sahakarsantratra@nexora.in,buy123,Mouda,Nagpur,Sahakar Santra Traders
Jyoti Waghmare,9910141187,manasagroexports@nexora.in,buy123,Mahabaleshwar,Satara,Manas Agro Exports Pvt Ltd
Mahendra Chougule,6589379474,khandobagrainsma@nexora.in,buy123,Navapur,Nandurbar,Khandoba Grains & Maize Traders
Ravindra Chougule,8664551240,girnarsoyaproces2@nexora.in,buy123,Akot,Akola,Girnar Soya Processors
Shobha Randhawa,6537186480,ekviraspicetrade@nexora.in,buy123,Radhanagari,Kolhapur,Ekvira Spice Traders
Deepak Randhawa,9427173394,saraswaticottont@nexora.in,buy123,Arvi,Wardha,Saraswati Cotton Traders
Sunita Kulkarni,7298304943,kundacitrusexpor@nexora.in,buy123,Kuhi,Nagpur,Kunda Citrus Exports Pvt Ltd
Sunil Shinde,6590830166,krantimangotrade@nexora.in,buy123,Kankavli,Sindhudurg,Kranti Mango Traders
Kiran Jagtap,7312581535,shreeramseafoode@nexora.in,buy123,Dahanu,Palghar,Shreeram Seafood Exports Co.
Prakash Borate,7712681096,jagdambaagroexpo@nexora.in,buy123,Shahapur,Thane,Jagdamba Agro Exports Pvt Ltd
Mahendra Ghadge,6304057511,bhairavgadsoyapr@nexora.in,buy123,Ausa,Latur,Bhairavgad Soya Processors
Jyoti Patil,6969783309,padmavatiricemil2@nexora.in,buy123,Lakhani,Bhandara,Padmavati Rice Mills
Eknath Chougule,8143110020,marathasugarmill@nexora.in,buy123,Bhor,Pune,Maratha Sugar Mills Ltd
Eknath Holkar,8147008945,sahakarsugarfact@nexora.in,buy123,Karmala,Solapur,Sahakar Sugar Factory
Nitin Jadhav,7754263843,pragatifoodsexpo@nexora.in,buy123,Dadar,Mumbai City,Pragati Foods & Exports Pvt Ltd
Shivaji Deshpande,9035979359,nutansoyaprocess@nexora.in,buy123,Purna,Parbhani,Nutan Soya Processors
Archana Gaikwad,6848910799,suryaagroexports2@nexora.in,buy123,Kalyan,Thane,Surya Agro Exports Pvt Ltd
Rupali Mahajan,9320008062,jaihindgroundnut@nexora.in,buy123,Parola,Jalgaon,Jaihind Groundnut Traders
Ajit Deshpande,8842049193,ajinkyamangotrad@nexora.in,buy123,Talasari,Palghar,Ajinkya Mango Traders
Amol Shelke,7736350921,girnarcottontrad@nexora.in,buy123,Seloo,Wardha,Girnar Cotton Traders
Shivaji Borate,8079593718,panchvaticottonm@nexora.in,buy123,Umarkhed,Yavatmal,Panchvati Cotton Mills Ltd
Sachin Rathod,6696892701,jaibhavanisoybea@nexora.in,buy123,Manwath,Parbhani,Jai Bhavani Soybean Traders
Mahendra Yadav,6966766014,kisansugarfactor2@nexora.in,buy123,Pandharpur,Solapur,Kisan Sugar Factory
Raghunath Chougule,7002935011,shreefisheriespv2@nexora.in,buy123,Guhagar,Ratnagiri,Shree Fisheries Pvt Ltd
Namdev Gawali,9432177291,someshwarricetra2@nexora.in,buy123,Khalapur,Raigad,Someshwar Rice Traders Pvt Ltd
Yogesh Ghorpade,8738738918,ekvirasoyaproces@nexora.in,buy123,Ghatanji,Yavatmal,Ekvira Soya Processors
Kalpana More,8826873057,karhaagrotechpvt@nexora.in,buy123,Andheri,Mumbai Suburban,Karha AgroTech Pvt Ltd
Rupali Sathe,7713123019,vaishnaviorangep@nexora.in,buy123,Nandgaon Khandeshwar,Amravati,Vaishnavi Orange Processing Co.
Chandrakant Thorat,8170471874,khandobaricemill@nexora.in,buy123,Kalyan,Thane,Khandoba Rice Mills
Bapurao Chavan,9877038763,mulamuthaseafood@nexora.in,buy123,Devgad,Sindhudurg,Mula-Mutha Seafood Exports Co.
Anand Borate,8460475375,shrishtispicetra@nexora.in,buy123,Aundha Nagnath,Hingoli,Shrishti Spice Traders
Gopal Chavan,7482480854,karhasahakarisak2@nexora.in,buy123,Haveli,Pune,Karha Sahakari Sakhar Karkhana
Manohar Kadam,9523682991,padmavatioilmill@nexora.in,buy123,Mangrulpir,Washim,Padmavati Oil Mills Pvt Ltd
Pravin Bhagat,6077158072,santtukaramcopra@nexora.in,buy123,Sudhagad-Pali,Raigad,Sant Tukaram Copra & Oil Mills
Pooja More,9587416228,ashokacottontrad@nexora.in,buy123,Wardha,Wardha,Ashoka Cotton Traders
Ravindra Gadhave,7859003144,jaihindturmericp@nexora.in,buy123,Risod,Washim,Jaihind Turmeric Processing Co.
Gopal Thorat,8772159770,bhogawatiagroind2@nexora.in,buy123,Telhara,Akola,Bhogawati Agro Industries
Santosh Mahajan,9724645519,pravaraguludyog@nexora.in,buy123,Bhudargad,Kolhapur,Pravara Gul Udyog
Santosh Ghorpade,9163976486,ganrajkajuudyog@nexora.in,buy123,Mandangad,Ratnagiri,Ganraj Kaju Udyog
Milind Rathod,8351520642,shreeramraisintr@nexora.in,buy123,Miraj,Sangli,Shreeram Raisin Traders
Nitin Dhumal,8816084749,shivneriagroindu@nexora.in,buy123,Aundha Nagnath,Hingoli,Shivneri Agro Industries
Shrikant Kale,9363576688,someshwaronionve@nexora.in,buy123,Baglan,Nashik,Someshwar Onion & Vegetable Traders
Chandrakant Gawali,6165068709,adityaricemills@nexora.in,buy123,Chimur,Chandrapur,Aditya Rice Mills
Madhuri Ubale,7009693464,sahyadrifoodsexp2@nexora.in,buy123,Andheri,Mumbai Suburban,Sahyadri Foods & Exports Pvt Ltd
Vandana Khedkar,6193339803,ajinkyasoyaproce@nexora.in,buy123,Jalkot,Latur,Ajinkya Soya Processors
Jyoti Nalawade,7362553488,krishnavalleyoil@nexora.in,buy123,Chandur,Amravati,Krishna Valley Oil Mills Pvt Ltd
Eknath Nalawade,7572105983,karharicetraders@nexora.in,buy123,Nagbhid,Chandrapur,Karha Rice Traders Pvt Ltd
Suresh Jagtap,7837989284,shrishtitextiles@nexora.in,buy123,Ashti,Wardha,Shrishti Textiles Pvt Ltd
Madhuri Wagh,6219351982,shrishtispicetra3@nexora.in,buy123,Shirala,Sangli,Shrishti Spice Traders
Vishal Chavan,9631842072,ganeshcooperativ@nexora.in,buy123,Osmanabad,Dharashiv (Osmanabad),Ganesh Cooperative Sugar Karkhana
Ravindra Vhatkar,6926791370,mulahapusexports@nexora.in,buy123,Sudhagad-Pali,Raigad,Mula Hapus Exports Pvt Ltd
Balasaheb Jadhav,7517732814,priyastrawberryj@nexora.in,buy123,Khatav,Satara,Priya Strawberry Jam Ltd
Vandana Bhosale,8930609263,bhagwanforestpro@nexora.in,buy123,Bhadravati,Chandrapur,Bhagwan Forest Produce Traders
Ramesh Zaware,9668364507,taranganchikooex@nexora.in,buy123,Talasari,Palghar,Tarangan Chikoo Exports
Ramesh Ghadge,8918426535,shreeramfreshveg@nexora.in,buy123,Peth,Nashik,Shreeram Fresh Vegetable Exports Pvt Ltd
Pravin Hande,9333335064,utkarshaagrotech@nexora.in,buy123,Bandra,Mumbai Suburban,Utkarsha AgroTech Pvt Ltd
Ramesh Hande,8447133809,shreesugarspvtlt@nexora.in,buy123,Miraj,Sangli,Shree Sugars Pvt Ltd
Seema Jadhav,6816701210,digvijaysuparitr@nexora.in,buy123,Vengurla,Sindhudurg,Digvijay Supari Traders
Namdev Randhawa,9247148805,panchgangaagroex@nexora.in,buy123,Malegaon,Nashik,Panchganga Agro Exports
Kiran Randhawa,6255380284,nutanagriseedsco@nexora.in,buy123,Vaijapur,Chhatrapati Sambhajinagar (Aurangabad),Nutan Agri Seeds Co.
Dattatray Thorat,7353965042,bhogawaticashewe@nexora.in,buy123,Vaibhavwadi,Sindhudurg,Bhogawati Cashew Exports Pvt Ltd
Rupali Gawali,9458367643,sanmantenduleave@nexora.in,buy123,Korchi,Gadchiroli,Sanman Tendu Leaves Co.
Vishal Takawale,6289481737,konkancottonginn@nexora.in,buy123,Phulambri,Chhatrapati Sambhajinagar (Aurangabad),Konkan Cotton Ginning & Pressing
Baburao Powar,6257542573,sinhagadsahakari@nexora.in,buy123,Khatav,Satara,Sinhagad Sahakari Sakhar Karkhana
Sunil Chavan,6972082734,kaverisahakarisa@nexora.in,buy123,Patoda,Beed,Kaveri Sahakari Sakhar Karkhana
Namdev More,7132328489,chandracottonmil2@nexora.in,buy123,Dharmabad,Nanded,Chandra Cotton Mills Ltd
Vijay Bhosale,6978262874,jaihindsoybeantr@nexora.in,buy123,Jalkot,Latur,Jaihind Soybean Traders
Neelam Deshpande,8077527536,vitthalraisintra@nexora.in,buy123,Atpadi,Sangli,Vitthal Raisin Traders
Jyoti Salunkhe,6202743958,ekvirasunflowert@nexora.in,buy123,Ashti,Beed,Ekvira Sunflower Traders
Kavita Holkar,7928548827,rajgadoilmillspv2@nexora.in,buy123,Chikhli,Buldhana,Rajgad Oil Mills Pvt Ltd
Rajesh Kale,8588471464,sinhagadagriseed@nexora.in,buy123,Ghansawangi,Jalna,Sinhagad Agri Seeds Co.
Deepak Fadnavis,7785225629,shivneritendulea@nexora.in,buy123,Mulchera,Gadchiroli,Shivneri Tendu Leaves Co.
Milind Holkar,6454726013,sahyadrisantratr@nexora.in,buy123,Nagpur Urban,Nagpur,Sahyadri Santra Traders
Shobha Bhagat,7946869580,ekvirasahakarisa@nexora.in,buy123,Solapur North,Solapur,Ekvira Sahakari Sakhar Karkhana
Chandrakant Rane,9232881660,chandrahaldiudyo@nexora.in,buy123,Manora,Washim,Chandra Haldi Udyog
Kalpana Fadnavis,9683682707,khandobaagroexpo@nexora.in,buy123,Bhiwandi,Thane,Khandoba Agro Exports Pvt Ltd
Mangesh Chougule,7817181463,mulamuthasoybean@nexora.in,buy123,Karanja,Washim,Mula-Mutha Soybean Traders
Shivaji Yadav,7325365936,kedareshwarbanan@nexora.in,buy123,Chalisgaon,Jalgaon,Kedareshwar Banana Exports
Shrikant Gawali,9797657605,tuljabhavanifrui@nexora.in,buy123,Akkalkuwa,Nandurbar,Tulja Bhavani Fruit Traders Pvt Ltd
Anjali Nalawade,7604798907,panchvatiorangep@nexora.in,buy123,Katol,Nagpur,Panchvati Orange Processing Co.
Shobha Rathod,6685005487,sanmancopraoilmi@nexora.in,buy123,Uran,Raigad,Sanman Copra & Oil Mills
