name,mobile,email,password,taluka,district
Radhika Waghmare,9345465288,radhikawaghmar@nexora.in,farm123,Pathri,Parbhani
Tukaram More,9176261644,tukarammore@nexora.in,farm123,Zari Jamani,Yavatmal
Pooja Bhagat,6772711699,poojabhagat@nexora.in,farm123,Niphad,Nashik
Sachin Hande,7297747219,sachinhande@nexora.in,farm123,Sakoli,Bhandara
Keshav Thorat,7284215610,keshavthorat2@nexora.in,farm123,Shahada,Nandurbar
Yogesh Wagh,8067884406,yogeshwagh@nexora.in,farm123,Nagar,Ahilyanagar (Ahmednagar)
Ramesh Kadam,8008303506,rameshkadam@nexora.in,farm123,Purandhar,Pune
Ajit Adsul,9112222962,ajitadsul@nexora.in,farm123,Chikhli,Buldhana
Vimal Joshi,9097684604,vimaljoshi@nexora.in,farm123,Vaibhavwadi,Sindhudurg
Sunita Kachare,7816119417,sunitakachare@nexora.in,farm123,Kelapur,Yavatmal
Ajit Kachare,7682651487,ajitkachare@nexora.in,farm123,Kurla,Mumbai Suburban
Eknath Gadhave,8887640630,eknathgadhave@nexora.in,farm123,Akola,Akola
Mangesh Thorat,9832367721,mangeshthorat@nexora.in,farm123,Arvi,Wardha
Vishal Pawar,8728987645,vishalpawar@nexora.in,farm123,Mulshi,Pune
Mangesh Ghule,6451379561,mangeshghule@nexora.in,farm123,Gangakhed,Parbhani
Amol Ubhe,7107804480,amolubhe@nexora.in,farm123,Latur,Latur
Anita Vibhute,7740551344,anitavibhute@nexora.in,farm123,Shirol,Kolhapur
Santosh Chavhan,8271801145,santoshchavhan@nexora.in,farm123,Dhanora,Gadchiroli
Jagdish Fadnavis,9376871474,jagdishfadnavi@nexora.in,farm123,Washim,Washim
Bhausaheb Mhaske,6055520228,bhausahebmhask@nexora.in,farm123,Bandra,Mumbai Suburban
Jyoti Vhatkar,6056869323,jyotivhatkar@nexora.in,farm123,Hingna,Nagpur
Ashok Mane,8085654054,ashokmane@nexora.in,farm123,Warora,Chandrapur
Chhaya Vhatkar,8840797692,chhayavhatkar@nexora.in,farm123,Umarga,Dharashiv (Osmanabad)
Anita Fadnavis,6016370786,anitafadnavis2@nexora.in,farm123,Malad,Mumbai Suburban
Shrikant Jare,7807886859,shrikantjare@nexora.in,farm123,Sangole,Solapur
Milind Shinde,9532454185,milindshinde@nexora.in,farm123,Dhanora,Gadchiroli
Ashok Hande,8480871075,ashokhande2@nexora.in,farm123,Chakur,Latur
Rajendra Gawali,9108789326,rajendragawali@nexora.in,farm123,Mukhed,Nanded
Keshav Hiwale,6557073710,keshavhiwale@nexora.in,farm123,Sailu,Parbhani
Kavita Chavan,8398899802,kavitachavan@nexora.in,farm123,Wani,Yavatmal
Milind Randhawa,9909491071,milindrandhawa@nexora.in,farm123,Parel,Mumbai City
Umesh Mhaske,9982906054,umeshmhaske@nexora.in,farm123,Akkalkuwa,Nandurbar
Lata Jagtap,9545821231,latajagtap@nexora.in,farm123,Etapalli,Gadchiroli
Sachin Joshi,9338412715,sachinjoshi@nexora.in,farm123,Wadwani,Beed
Ravindra Rasal,8274142626,ravindrarasal@nexora.in,farm123,Barshitakli,Akola
Sanjay Jagtap,9434158902,sanjayjagtap@nexora.in,farm123,Dhadgaon,Nandurbar
Kavita Vibhute,9457422975,kavitavibhute@nexora.in,farm123,Gangakhed,Parbhani
Anita Ghorpade,8118662733,anitaghorpade@nexora.in,farm123,Sangole,Solapur
Sanjay Kale,7106467104,sanjaykale2@nexora.in,farm123,Indapur,Pune
Dnyaneshwar Kadam,7205245323,dnyaneshwarkad@nexora.in,farm123,Byculla,Mumbai City
Kalpana Lokhande,6039491895,kalpanalokhand@nexora.in,farm123,Sadak-Arjuni,Gondia
Kailas Damle,9223056446,kailasdamle@nexora.in,farm123,Sinnar,Nashik
Ganesh Dhumal,9546815554,ganeshdhumal@nexora.in,farm123,Akole,Ahilyanagar (Ahmednagar)
Kiran Jagtap,7144983178,kiranjagtap@nexora.in,farm123,Colaba,Mumbai City
Yamuna Shinde,6720493315,yamunashinde@nexora.in,farm123,Parel,Mumbai City
Baban Jare,9962012311,babanjare@nexora.in,farm123,Gaganbawada,Kolhapur
Anand Khedkar,7536594551,anandkhedkar@nexora.in,farm123,Partur,Jalna
Shobha Joshi,6061395801,shobhajoshi@nexora.in,farm123,Akot,Akola
Pandurang Fadnavis,6991313700,pandurangfadna@nexora.in,farm123,Kadegaon,Sangli
Jagdish Joshi,9627596563,jagdishjoshi@nexora.in,farm123,Akola,Akola
Namdev Pawar,7043539574,namdevpawar@nexora.in,farm123,Pauni,Bhandara
Sunil Bhosale,6517167609,sunilbhosale@nexora.in,farm123,Vasai,Palghar
Amol Borate,8502097462,amolborate@nexora.in,farm123,Fort,Mumbai City
Ganesh Solanke,7702114432,ganeshsolanke@nexora.in,farm123,Kuhi,Nagpur
Kiran Thorat,9739107296,kiranthorat@nexora.in,farm123,Nandura,Buldhana
Suresh Mane,9846962887,sureshmane@nexora.in,farm123,Mohadi,Bhandara
